buy_time,sell_time,earn,wealth
2016-09-11,2016-11-02,179.6509289793293,1136.0579103997427
2016-11-04,2017-01-04,736.2301311424972,1812.1211225034003
2017-01-12,2017-02-08,630.9890585861863,2358.0055550177267
2017-02-09,2017-03-04,751.0445650083506,2999.7090065252014
2017-03-08,2017-03-15,259.194410242384,3133.7311683017297
2017-03-18,2017-03-21,547.60331432861,3545.033169611698
2017-03-25,2017-04-11,1141.0941095158798,4521.504070152792
2017-04-15,2017-05-12,2544.553334670901,6834.306175324164
2017-05-16,2017-05-25,2547.2916887303263,9057.279783266917
2017-05-28,2017-06-06,2851.1595686210226,11489.124969184842
2017-06-07,2017-06-11,1007.5771925214368,12016.985619088457
2017-06-15,2017-06-22,1401.252187065075,12909.533337648692
2017-07-02,2017-07-06,1006.1410132318169,13379.170197109925
2017-07-17,2017-07-23,6403.0226188757915,19118.965555723804
2017-07-25,2017-07-31,2280.1960544529243,20588.79906685872
2017-08-02,2017-08-17,12497.828353692707,32013.118890803224
2017-08-22,2017-09-01,7432.207861190324,38016.15783913761
2017-09-04,2017-09-07,2717.7803249243184,39158.93624399794
2017-09-15,2017-09-20,9266.51797842356,46673.76641309311
2017-09-22,2017-10-15,28081.066785585008,72326.2612064427
2017-10-18,2017-10-21,5064.826569525244,74396.74079631972
2017-10-25,2017-11-04,23198.64215829523,94155.54047959625
2017-11-12,2017-12-08,183566.90755969135,270284.88826890994
2017-12-10,2017-12-12,43743.98036042256,302342.59349136765
2017-12-14,2017-12-16,60392.45695125232,349433.49756394024
2017-12-26,2017-12-27,47004.5332983898,381520.60029380466
2017-12-30,2018-01-06,118467.58164723414,482358.00629634195
2018-01-11,2018-01-15,25952.111645891222,488496.7554574617
2018-01-17,2018-01-20,80582.21110603768,547927.4521230801
2018-01-26,2018-01-27,27719.586325664553,553175.5486373082
2018-02-05,2018-02-20,368166.0325239982,891851.2385653341
2018-02-25,2018-03-05,167417.59401430236,1020246.431156737
2018-03-10,2018-03-12,50958.805060300925,1029376.2028695624
2018-03-18,2018-03-21,97797.53021546776,1084042.7343659382
2018-03-30,2018-04-04,85675.33965537701,1124642.8578535703
2018-04-06,2018-04-08,70466.90075967919,1148714.706283913
2018-04-09,2018-04-16,286151.2942274909,1383194.3863754976
2018-04-17,2018-04-25,308805.37249791453,1630495.875968434
2018-04-28,2018-05-05,159744.54284507508,1721825.6929178701
2018-05-17,2018-05-20,85237.90738861491,1736485.814441998
2018-05-26,2018-06-07,78835.34347617067,1744285.0184709653
2018-06-13,2018-06-21,122937.06006808131,1794991.9365988465
2018-06-29,2018-07-08,256657.177247759,1974716.2928376964
2018-07-14,2018-07-25,636036.7852575051,2519043.690676544
2018-08-11,2018-09-04,462088.9337843331,2871129.0981581286
2018-09-10,2018-09-22,236987.37115407828,2988531.5579628
2018-10-13,2018-10-16,168476.2540047638,3034097.0245689563
