Date,MACD,AARIMA,LINEAR,DP
9/11/16,0,0,0,-1.0
9/12/16,0,0,0,0.0
9/13/16,0,0,0,0.0
9/14/16,0,0,0,0.0
9/15/16,0,0,0,0.0
9/16/16,0,0,0,0.0
9/17/16,0,0,0,0.0
9/18/16,0,0,0,0.0
9/19/16,0,0,0,0.0
9/20/16,0,0,0,0.0
9/21/16,0,0,0,0.0
9/22/16,0,0,0,0.0
9/23/16,0,0,0,1.0
9/24/16,0,0,0,0.0
9/25/16,0,0,0,0.0
9/26/16,0,0,0,0.0
9/27/16,0,0,0,0.0
9/28/16,0,0,0,0.0
9/29/16,0,0,0,0.0
9/30/16,0,0,0,0.0
10/1/16,0,0,0,0.0
10/2/16,0,0,0,0.0
10/3/16,0,0,0,0.0
10/4/16,0,0,0,0.0
10/5/16,0,0,0,0.0
10/6/16,0,0,0,0.0
10/7/16,0,0,0,0.0
10/8/16,0,0,0,0.0
10/9/16,0,0,0,0.0
10/10/16,0,0,0,0.0
10/11/16,0,0,0,0.0
10/12/16,0,0,0,0.0
10/13/16,0,0,0,0.0
10/14/16,0,0,0,0.0
10/15/16,0,0,0,0.0
10/16/16,0,0,0,0.0
10/17/16,0,0,0,0.0
10/18/16,0,0,0,0.0
10/19/16,0,0,0,0.0
10/20/16,0,0,0,0.0
10/21/16,0,0,0,0.0
10/22/16,0,0,0,0.0
10/23/16,0,0,0,0.0
10/24/16,0,0,0,0.0
10/25/16,0,0,0,0.0
10/26/16,0,0,0,0.0
10/27/16,0,0,0,0.0
10/28/16,0,0,0,0.0
10/29/16,0,0,0,0.0
10/30/16,0,0,0,0.0
10/31/16,0,0,0,0.0
11/1/16,0,0,0,0.0
11/2/16,0,0,0,-1.0
11/3/16,0,0,0,0.0
11/4/16,0,0,0,1.0
11/5/16,0,0,0,0.0
11/6/16,0,0,0,0.0
11/7/16,0,-1,0,0.0
11/8/16,0,1,0,0.0
11/9/16,0,-1,0,0.0
11/10/16,0,0,0,0.0
11/11/16,0,0,0,0.0
11/12/16,-1,0,0,0.0
11/13/16,0,0,0,0.0
11/14/16,0,0,0,0.0
11/15/16,0,0,0,0.0
11/16/16,0,0,0,0.0
11/17/16,0,0,0,0.0
11/18/16,1,0,0,0.0
11/19/16,0,0,0,0.0
11/20/16,0,0,0,0.0
11/21/16,0,0,0,0.0
11/22/16,-1,0,0,0.0
11/23/16,0,0,0,0.0
11/24/16,0,0,0,0.0
11/25/16,0,1,0,0.0
11/26/16,0,-1,0,0.0
11/27/16,0,0,0,0.0
11/28/16,0,0,0,0.0
11/29/16,0,0,0,0.0
11/30/16,0,0,0,0.0
12/1/16,0,0,0,0.0
12/2/16,1,0,0,0.0
12/3/16,0,0,0,0.0
12/4/16,0,0,0,0.0
12/5/16,0,0,0,0.0
12/6/16,0,0,0,0.0
12/7/16,-1,0,0,0.0
12/8/16,1,0,0,0.0
12/9/16,0,0,0,0.0
12/10/16,0,0,0,0.0
12/11/16,0,0,0,0.0
12/12/16,0,0,0,0.0
12/13/16,0,0,0,0.0
12/14/16,0,0,0,0.0
12/15/16,-1,0,0,0.0
12/16/16,0,0,0,0.0
12/17/16,0,0,0,0.0
12/18/16,1,0,0,0.0
12/19/16,0,0,0,0.0
12/20/16,0,0,0,0.0
12/21/16,0,0,0,0.0
12/22/16,0,0,0,0.0
12/23/16,0,0,0,0.0
12/24/16,0,0,0,0.0
12/25/16,0,0,0,0.0
12/26/16,0,0,0,0.0
12/27/16,0,0,0,0.0
12/28/16,0,0,0,0.0
12/29/16,0,0,0,0.0
12/30/16,0,0,0,0.0
12/31/16,0,-1,0,0.0
1/1/17,0,0,0,0.0
1/2/17,0,1,0,0.0
1/3/17,0,-1,0,0.0
1/4/17,0,1,0,-1.0
1/5/17,0,-1,-1,0.0
1/6/17,0,0,0,0.0
1/7/17,-1,1,0,0.0
1/8/17,0,0,0,0.0
1/9/17,0,-1,0,0.0
1/10/17,0,1,0,0.0
1/11/17,0,-1,0,0.0
1/12/17,0,0,0,1.0
1/13/17,0,0,0,0.0
1/14/17,0,-1,0,0.0
1/15/17,0,0,0,0.0
1/16/17,0,0,0,0.0
1/17/17,0,0,0,0.0
1/18/17,0,-1,0,0.0
1/19/17,0,1,0,0.0
1/20/17,0,-1,0,0.0
1/21/17,0,0,0,0.0
1/22/17,1,0,0,0.0
1/23/17,0,0,0,0.0
1/24/17,0,0,0,0.0
1/25/17,0,0,0,0.0
1/26/17,0,0,1,0.0
1/27/17,0,0,0,0.0
1/28/17,0,0,0,0.0
1/29/17,0,0,0,0.0
1/30/17,0,1,0,0.0
1/31/17,0,-1,0,0.0
2/1/17,0,0,0,0.0
2/2/17,0,0,0,0.0
2/3/17,0,0,0,0.0
2/4/17,0,0,0,0.0
2/5/17,0,0,0,0.0
2/6/17,0,0,0,0.0
2/7/17,0,0,-1,-1.0
