buy_time,sell_time,earn,wealth
2016-09-11,2016-11-12,132.00353896887327,1089.3634681894957
2016-12-18,2017-01-07,149.82202036502676,1192.6145094196422
2017-01-22,2017-02-11,102.54727317395572,1245.406256753333
2017-02-18,2017-03-08,118.75633559384916,1311.971215365172
2017-04-01,2017-06-13,2005.2075821632461,3224.5957972705464
2017-07-21,2017-08-22,1567.7999812257851,4632.055946980994
2017-09-27,2017-10-26,2401.529946048383,6800.273056229169
2017-10-31,2017-11-10,352.063465677903,6873.284330344347
2017-11-17,2017-12-21,7144.039727169624,13599.511889756805
2018-02-11,2018-03-08,2570.4577117879726,15574.579971718746
2018-04-10,2018-05-08,5611.005585459922,20450.38224660072
2018-06-30,2018-08-02,4549.356318507116,24090.736148873664
2018-12-11,2019-01-12,1547.9924010164318,24644.139255914823
2019-02-03,2019-03-02,2308.2223396257023,25920.43157851142
2019-03-30,2019-04-16,5798.2838075409045,30565.93244676105
2019-05-05,2019-05-25,11822.512092885749,40929.356999918644
2019-06-16,2019-07-02,7942.664405671008,47075.99383747949
2019-12-19,2020-01-24,7133.629155029061,52183.91065590879
2020-03-23,2020-05-12,25046.237301476376,74641.86678511929
2020-07-22,2020-08-13,17327.664200728377,88637.30303042833
2020-09-25,2020-11-27,53013.50528494941,137045.04608846162
2020-12-17,2021-01-14,102649.42843766513,232159.68411383498
2021-02-04,2021-02-25,79788.74129244714,301066.2632158798
2021-03-10,2021-03-21,17577.876959263907,306249.9321073232
2021-07-23,2021-08-19,118335.59298150532,409968.8159449055
